OCCRNC_YEAR,OCCRNC_MM,OCCRNC_REGN,OCCRNC_CNT,PATNT_CNT,OCCRNC_IND,HOL_IND,HOL_DUR,CPI_VALUE,WTHR_AVG_TEMP,WTHR_AVG_H_TEMP,WTHR_AVG_L_TEMP,WTHR_AVG_PRECIP,WTHR_AVG_WNDSPD,WTHR_MX_WNDSPD,WTHR_AVG_PRESS,WTHR_MX_PRESS,WTHR_MN_PRESS,WTHR_AVG_SEA_PRESS,WTHR_MX_SEA_PRESS,WTHR_MN_SEA_PRESS,WTHR_AVG_RHUM,WTHR_MN_RHUM,WTHR_SUM_SUNHR,FST_CNT,FST_IND,POP_GEN_CNT,POP_ELM_CNT,POP_MID_CNT,POP_HIGH_CNT,POP_60P_CNT,POP_STU_PER_SCH,POP_ELM_RATIO,POP_MID_RATIO,POP_HIGH_RATIO,POP_60P_RATIO,POP_DENS,GMS_LIC_CNT
2022,2,경북,0.0,0.0,0,1,4,105.98,0.1,6.1,-5.3,6.4,2.7,9.0,1023.7,1032.8,1011.7,1025.8,1036.2,1013.5,65.0,29.0,253.2,2,1,2622026.0,130720.0,66057.0,64589.0,845807.0,267.2035491,0.049854578,0.025193114,0.024633242,0.322577656,137.7377324,6
2022,1,경북,2.0,9.0,1,1,9,105.42,-0.5,5.6,-5.8,7.0,2.1,8.9,1022.9,1032.0,1011.0,1025.2,1034.8,1014.5,69.0,38.0,238.7,0,0,2624310.0,131041.0,66148.0,64428.0,842402.0,267.2035491,0.049933506,0.025205864,0.024550453,0.320999425,137.8577133,5
2022,12,광주,0.0,0.0,0,0,0,109.1,1.1,5.5,-2.6,30.6,1.2,5.3,1016.4,1024.8,1000.9,1025.3,1033.8,1009.6,63.0,8.0,167.5,0,0,1431050.0,83511.0,44166.0,44809.0,326561.0,529.8606811,0.058356452,0.030862653,0.031311974,0.228196779,2856.248697,3
2022,11,광주,0.0,0.0,0,0,0,109.1,11.8,18.1,6.8,46.7,1.0,6.0,1012.9,1024.5,999.6,1021.4,1033.6,1007.8,62.0,17.0,200.4,0,0,1432049.0,83677.0,44204.0,44862.0,325608.0,529.8606811,0.05843166,0.030867659,0.03132714,0.227372108,2858.242612,4
2022,10,광주,0.0,0.0,0,1,6,109.16,16.0,21.6,11.4,38.3,1.1,6.6,1013.4,1020.8,1001.7,1021.7,1029.4,1009.7,65.0,18.0,234.3,4,1,1432651.0,84014.0,44241.0,44807.0,324448.0,529.8606811,0.058642335,0.030880515,0.031275586,0.226466879,2859.444151,3
2022,9,광주,0.0,0.0,0,1,4,108.8,23.1,28.0,19.1,89.2,1.5,7.5,1004.1,1010.9,978.4,1012.2,1019.1,986.3,77.0,28.0,175.9,0,0,1432856.0,84327.0,44331.0,44563.0,323002.0,529.8606811,0.05885239,0.030938908,0.031100822,0.225425304,2859.853313,3
2022,8,광주,0.0,0.0,0,1,3,108.77,26.9,30.6,24.1,106.4,1.8,8.3,999.8,1008.0,993.8,1007.7,1016.1,1001.6,90.0,41.0,129.3,0,0,1434397.0,84729.0,44401.0,44439.0,322424.0,529.8606811,0.059069421,0.030954471,0.030980963,0.224780169,2862.929012,0
2022,7,광주,2.0,5.0,1,0,0,109.01,27.0,31.1,23.8,169.0,1.5,8.0,998.0,1007.1,988.9,1005.9,1015.0,996.8,88.0,43.0,181.3,0,0,1434703.0,84843.0,44585.0,44311.0,321111.0,529.8606811,0.059136281,0.031076118,0.030885138,0.223817055,2863.53976,4
2022,6,광주,0.0,0.0,0,1,3,108.54,23.8,29.0,20.1,131.7,1.9,7.9,999.7,1006.4,989.4,1007.7,1014.6,997.5,83.0,13.0,166.0,0,0,1435378.0,85038.0,44655.0,44269.0,320106.0,529.8606811,0.059244324,0.031110272,0.030841353,0.223011639,2864.887001,3
2022,5,광주,2.0,16.0,1,1,4,107.86,19.3,26.1,13.8,0.4,1.3,6.9,1005.0,1013.5,993.5,1013.1,1021.9,1001.5,59.0,17.0,297.9,1,1,1436012.0,85126.0,44788.0,44186.0,319255.0,529.8606811,0.059279449,0.031189154,0.030769938,0.222320566,2866.152408,4
2022,4,광주,0.0,0.0,0,0,0,106.9,15.5,22.6,9.8,49.4,1.4,6.5,1008.8,1021.4,993.1,1017.2,1030.0,1001.2,60.0,9.0,256.9,1,1,1436916.0,85252.0,44853.0,44146.0,318458.0,529.8606811,0.059329843,0.031214768,0.030722742,0.221626038,2867.956712,3
2022,3,광주,0.0,0.0,0,0,0,106.11,9.6,15.6,4.5,105.2,1.4,7.9,1009.4,1019.3,991.5,1017.9,1028.0,999.7,68.0,8.0,169.3,0,0,1438463.0,85403.0,44934.0,44100.0,318219.0,529.8606811,0.059371009,0.031237508,0.030657723,0.22122154,2871.044387,2
2022,2,광주,1.0,16.0,1,1,4,105.24,1.8,7.2,-2.4,2.7,1.5,6.6,1017.5,1026.1,1008.8,1026.4,1035.3,1017.4,56.0,11.0,198.6,1,1,1440032.0,85599.0,45020.0,44146.0,317680.0,529.8606811,0.059442429,0.031263194,0.030656263,0.220606209,2874.175971,4
2022,1,광주,1.0,3.0,1,1,9,104.83,1.6,6.7,-2.3,0.3,1.2,4.9,1016.2,1024.8,1007.8,1025.1,1033.9,1016.6,59.0,15.0,184.8,0,0,1441636.0,85785.0,45113.0,44205.0,316880.0,529.8606811,0.059505312,0.03129292,0.03066308,0.219805832,2877.377413,5
2022,12,대구,2.0,11.0,1,0,0,109.59,0.4,5.4,-4.0,3.6,2.4,9.0,1017.4,1026.7,999.6,1024.3,1033.7,1006.4,63.0,24.0,209.5,0,0,2363691.0,123738.0,62826.0,64091.0,635665.0,513.5135699,0.052349482,0.026579616,0.027114796,0.268928976,2670.166856,2
2022,11,대구,1.0,7.0,1,0,0,109.48,11.0,17.7,5.2,46.6,1.7,8.1,1014.7,1025.8,1001.4,1021.3,1032.8,1007.8,65.0,21.0,209.3,0,0,2365619.0,123964.0,62985.0,63965.0,633777.0,513.5135699,0.052402352,0.026625167,0.027039434,0.267911697,2672.34484,5
2022,10,대구,1.0,4.0,1,1,6,109.61,15.5,21.6,10.1,25.6,2.1,8.7,1015.2,1024.0,1002.3,1021.6,1030.7,1008.4,72.0,25.0,233.8,19,1,2366852.0,124371.0,63044.0,63752.0,631541.0,513.5135699,0.052547012,0.026636224,0.026935355,0.266827415,2673.737711,7
2022,9,대구,1.0,27.0,1,1,4,109.29,21.9,26.8,17.7,114.2,2.3,9.4,1007.1,1013.6,977.8,1013.4,1020.0,983.9,80.0,22.0,168.4,4,1,2367735.0,124815.0,63029.0,63606.0,628879.0,513.5135699,0.052714936,0.026619955,0.026863648,0.265603625,2674.7352,5
2022,8,대구,1.0,66.0,1,1,3,108.88,26.9,31.4,23.4,143.3,1.7,7.4,1001.5,1010.9,994.8,1007.6,1017.2,1000.8,81.0,27.0,139.1,1,1,2371936.0,125075.0,63180.0,63314.0,628191.0,513.5135699,0.052731187,0.026636469,0.026692963,0.264843149,2679.480901,3
2022,7,대구,5.0,66.0,1,0,0,108.93,27.5,32.4,23.7,88.8,2.3,6.2,1000.1,1010.0,990.8,1006.2,1016.2,996.7,77.0,36.0,180.5,3,1,2374120.0,125095.0,63474.0,63059.0,626280.0,513.5135699,0.052691102,0.026735801,0.026560999,0.263794585,2681.948078,6
