OCCRNC_YEAR,OCCRNC_MM,PATNT_CNT,OCCRNC_CNT,OCCRNC_AREA
2022,05,26,2,서울
2022,05,41,1,충북
2022,05,141,3,충남
2022,05,79,3,전북
2022,05,15,2,경북
2022,05,38,3,경남
2022,05,34,1,제주
2022,05,16,3,부산
2022,05,10,3,대구
2022,05,2,1,인천
2022,05,16,2,광주
2022,05,239,6,경기
2022,04,50,4,서울
2022,04,3,1,충북
2022,04,4,2,충남
2022,04,3,1,경남
2022,04,74,1,제주
2022,04,6,1,부산
2022,04,8,2,경기
2022,03,5,1,강원
2022,03,5,1,전남
2022,03,98,6,부산
2022,03,115,1,대구
2022,03,125,1,대전
2022,03,5,1,울산
2022,03,69,2,경기
2022,02,6,1,서울
2022,02,2,1,충북
2022,02,11,1,충남
2022,02,24,1,제주
2022,02,16,1,광주
2022,02,51,1,대전
2022,02,24,2,경기
2022,01,70,2,서울
2022,01,2,1,충남
2022,01,9,2,경북
2022,01,2,1,불명
2022,01,2,1,부산
2022,01,3,1,광주
2022,01,39,1,대전
2022,01,12,1,경기
2021,12,53,2,서울
2021,12,150,2,강원
2021,12,2,1,충북
2021,12,30,1,충남
2021,12,25,1,전북
2021,12,46,2,경북
2021,12,10,1,경남
2021,12,5,2,부산
2021,12,16,1,인천
2021,12,3,1,광주
2021,12,5,2,대전
2021,11,20,3,서울
2021,11,30,1,충북
2021,11,16,1,충남
2021,11,24,1,전북
2021,11,26,3,전남
2021,11,4,1,경남
2021,11,6,2,부산
2021,11,14,1,인천
2021,11,2,1,경기
2021,10,118,2,충북
2021,10,2,1,충남
2021,10,17,1,전북
2021,10,44,2,전남
2021,10,7,2,부산
2021,10,34,3,경기
2021,09,5,2,충북
2021,09,9,1,충남
2021,09,15,2,전남
2021,09,22,3,경북
2021,09,134,3,경남
2021,09,19,1,제주
2021,09,22,4,부산
2021,09,29,1,인천
2021,09,4,1,광주
2021,09,76,5,경기
2021,08,154,5,서울
2021,08,59,2,강원
2021,08,83,8,충북
2021,08,56,3,충남
2021,08,3,1,전북
2021,08,29,4,경북
2021,08,28,2,경남
2021,08,3,1,제주
2021,08,2,1,불명
2021,08,91,5,부산
2021,08,29,1,대구
2021,08,14,3,광주
2021,08,327,10,경기
2021,07,8,1,서울
2021,07,3,1,강원
2021,07,24,3,충북
2021,07,118,2,충남
2021,07,9,2,전남
2021,07,3,1,경북
2021,07,61,2,경남
2021,07,2,1,제주
2021,07,595,5,부산
2021,07,33,2,대구
2021,07,16,1,광주
2021,07,421,7,경기
2021,06,58,5,서울
2021,06,26,3,강원
2021,06,6,2,충북
2021,06,18,2,충남
2021,06,6,1,전북
2021,06,42,1,전남
2021,06,4,1,경북
2021,06,11,1,경남
2021,06,46,2,부산
2021,06,63,1,대구
2021,06,15,1,인천
2021,06,5,1,울산
2021,06,43,3,경기
2021,05,10,2,서울
2021,05,3,1,강원
2021,05,35,2,충북
2021,05,12,1,전북
2021,05,8,2,전남
2021,05,4,1,경북
2021,05,6,1,제주
2021,05,43,2,부산
2021,05,15,1,대구
2021,05,4,1,광주
2021,05,54,4,경기
2021,04,178,3,서울
2021,04,6,1,강원
2021,04,14,4,충남
2021,04,2,1,경북
2021,04,45,3,경남
2021,04,6,2,제주
